Ekran Boyutu,Ekran KartÄ±,Ekran Kartı,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Garanti Tipi,Hard Disk Kapasitesi,KullanÄ±m AmacÄ±,Kullanım Amacı,Ram (Sistem BelleÄŸi),Ram (Sistem Belleği),SSD Kapasitesi,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ä°ÅŸlemci Tipi,Ä°ÅŸletim Sistemi,Çözünürlük,İşlemci Tipi,İşletim Sistemi,url,price
"15,6 inç",,Dahili Ekran Kartı,,,Resmi Distribütör Garantili,,,,,8 GB,256 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//hp/250-g8-core-i5-1135g7-islemci-8gb-ram-256gb-ssd-15-6-fhd-freedos-laptop-komur-grisi-853u8es-p-773440890,10.499 TL
"15,6 inç",,Dahili Ekran Kartı,,,,,,Ev - Okul,,4 GB,SSD Yok,,,,1366 x 768,Intel Celeron,Free Dos,https://www.trendyol.com//lenovo/ideapad1-intel-celeron-n4120-4gb-128gb-emmc-dos-15-6-cloud-grey-laptop-lenovo-turkiye-garantili-p-652489295,6.646 TL
"17,3 inç",,Nvidia GeForce RTX 4060,,144 Hz,,,,,,32 GB,1 TB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//monster/tulpar-t7-v20-7-2-intel-core-i7-12650h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-17-3-fhd-144-hz-p-760784147,36.799 TL
"15,6 inç",,Nvidia GeForce RTX 4060,,144 Hz,,,,,,32 GB,1 TB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1342-dfb0x-b-intel-core-i5-13420h-32gb-ram-1tb-nvme-ssd-gen4-8gb-rtx4060-freedos-p-778321429?advertItems=eyJhZHZlcnRJZCI6IjQ3MzM5MDlkLTBhYWMtNGFmNi1hZGYzLTg3NWUyYWUzODM4ZCIsInNvcnRpbmdTY29yZSI6MC4xMzc2MzE1MzIyOTY1MzgzOCwiYWRTY29yZSI6MC4wMzg2MTcxNTI3MjA2ODk3NzQsImFkU2NvcmVzIjp7IjEiOjAuMDM4NjE3MTUyNzIwNjg5Nzc0LCIyIjowLjAzODYxNzE1MjcyMDY4OTc3NH0sImNwYyI6My41NjQwMDAwMDAwMDAwMDA1LCJtaW5DcGMiOjAuMDEsImVDcGMiOjMuNDQ1ODgyMDYxODEzNTI0LCJhZHZlcnRTbG90IjoxLCJvcmRlciI6MywiYXR0cmlidXRlcyI6IiJ9,34.999 TL
"15,6 inç",,AMD Radeon Graphics,,,,,,Ev - Okul,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 7,Free Dos,https://www.trendyol.com//lenovo/ideapad-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-82r4006ftra38-p-752653765,13.499 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//monster/abra-a5-v16-8-intel-core-i7-11800h-16-gb-ram-500-gb-ssd-4-gb-gtx-1650-freedos-15-6-fhd-144-hz-p-748917445,24.999 TL
14 inç,,Intel Iris Graphics,,,,,,Ofis - İş,,8 GB,512 GB,,,,1920 x 1080,Intel Core i5,Windows,https://www.trendyol.com//huawei/matebook-d14-intel-core-i5-1155g7-8gb-512gb-ssd-14-w11-dizustu-bilgisayar-huawei-turkiye-garanti-p-664355420,14.999 TL
"15,6 inç",,Nvidia GeForce RTX 4060,,144 Hz,,,,,,64 GB,1 TB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1265-efb0x-b-intel-core-i7-12650h-64gb-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672161676?advertItems=eyJhZHZlcnRJZCI6ImE2ODU1YjVjLWIyMWEtNDJmMy04NDU3LWRhZGFjNjkyYzUwYyIsInNvcnRpbmdTY29yZSI6MC4xMzIyOTc4MTMxOTk0NjA1LCJhZFNjb3JlIjowLjA0MjY0OTE5ODMyMzQ4ODIzNSwiYWRTY29yZXMiOnsiMSI6MC4wNDI2NDkxOTgzMjM0ODgyMzUsIjIiOjAuMDQyNjQ5MTk4MzIzNDg4MjM1fSwiY3BjIjozLjEwMiwibWluQ3BjIjowLjAxLCJlQ3BjIjoyLjgzNjkzODM5OTQwNjM3NywiYWR2ZXJ0U2xvdCI6Miwib3JkZXIiOjcsImF0dHJpYnV0ZXMiOiIifQ==,37.999 TL
"15,6 inç",,AMD Radeon Graphics,,,Resmi Distribütör Garantili,,,,,8 GB,256 GB,,,,1920 x 1080,AMD Athlon,Free Dos,https://www.trendyol.com//lenovo/v15-82yu00metx-7120u-8gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-744832721,8.199 TL
"15,6 inç",,Nvidia GeForce RTX 4050,,144 Hz,,,,,,16 GB,512 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//acer/nitro5-intel-core-i5-12500h-16gb-512gb-ssd-6gb-rtx4050-dos-15-6-gaming-laptop-acer-turkiye-garanti-p-741177835,26.999 TL
